id,year,sys,fis,per,ad,co,ba,no,pv,in,ve,cc,cp,cm,value,cluster
127,2022,24,5,90,0,21930,15800,16240,24240,18000,45360,9040,9040,39030,198680,0
128,2022,8,1,320,0,26900,26900,27750,32800,22000,0,22000,22000,24500,204850,0
129,2021,19,2,78,0,21340,21340,16240,32680,13520,35360,31000,13520,12900,197900,0
130,2022,23,4,84,0,0,29240,0,64940,20890,23760,31520,16370,17310,204030,4
131,2022,26,9,67,0,13440,7900,8120,104860,40680,6450,4520,4520,6450,196940,0
132,2022,17,3,88,9000,13440,7900,16240,40700,26520,30950,13520,13520,30950,202740,0
133,2022,9,1,165,0,26900,26900,13870,32800,22000,24500,22000,9000,24500,202470,0
134,2022,16,6,102,18000,7900,7900,8120,86300,22000,10860,4520,4520,24500,194620,0
135,2022,9,1,320,0,13440,26900,13870,32800,22000,24500,22000,22000,24500,202010,0
136,2022,11,1,151,0,26900,7900,8120,32800,22000,24500,22000,9000,24500,177720,0
137,2022,16,6,72,0,0,0,0,106180,4520,51930,4520,0,32580,199730,4
138,2022,17,2,76,4500,26900,26880,13870,32680,9040,24500,31000,9040,6450,184860,0
139,2022,30,8,62,0,0,0,0,114380,22800,25800,11400,0,24850,199230,4
140,2022,30,5,69,0,0,0,0,81280,22600,17750,22600,22600,32250,199080,4
141,2022,9,1,135,0,26900,26900,13870,16340,22000,24500,22000,22000,24500,199010,0
142,2022,26,8,65,0,0,0,0,116640,24470,10860,21620,0,7920,181510,4
143,2022,18,5,86,27000,0,0,0,53660,35070,24500,9000,13520,34500,197250,4
144,2021,34,11,64,0,15800,0,8120,84760,40840,6450,14740,9040,17310,197060,0
145,2022,17,6,65,6300,7900,7900,8120,119140,9040,10860,9000,4520,6450,189230,0
146,2022,19,2,99,0,15800,21340,16240,15800,26520,35360,13520,13520,30950,189050,0
147,2022,8,1,140,0,26900,26900,27750,0,22000,24500,22000,22000,24500,196550,0
148,2022,8,1,160,0,26900,26900,27750,0,22000,24500,22000,22000,24500,196550,0
149,2021,8,1,85,0,26900,26900,27750,0,22000,24500,22000,22000,24500,196550,0
150,2022,8,1,100,0,26900,26900,27750,0,22000,24500,22000,22000,24500,196550,0
151,2022,15,2,78,0,0,15800,16240,65600,13520,24500,13520,11940,35360,196480,0
152,2022,27,7,75,0,13440,19570,8120,35540,22520,42580,14700,16190,23760,196420,0
153,2022,11,2,117,0,26900,26900,13870,37320,24850,24500,22000,9000,10860,196200,0
154,2022,13,1,80,9000,13440,13440,13870,16340,9000,24500,22000,22000,10860,154450,0
155,2022,11,1,116,0,26900,13440,8120,0,22000,24500,22000,22000,24500,163460,0
156,2022,20,6,71,0,0,0,0,80740,31600,69980,4520,0,6450,193290,4
157,2022,28,7,77,0,0,0,0,0,47450,64710,34450,0,46660,193270,4
158,2022,22,3,73,0,15800,15800,0,49140,18040,23760,18040,18040,28170,186790,0
159,2022,27,3,63,0,23700,23700,24360,32140,13560,23760,18040,13560,19350,192170,0
160,2022,12,2,75,0,33030,33030,0,4520,22000,28050,24850,22000,24500,191980,0
161,2022,16,4,93,0,7900,7900,8120,40040,9000,43850,22000,9000,10860,158670,0
162,2022,10,1,78,0,26900,13440,10050,32800,22000,24500,9000,9000,10860,158550,0
163,2022,21,6,73,0,26900,26900,13870,34420,19220,14410,11850,24850,17960,190380,0
164,2022,9,2,131,0,26900,26900,20210,0,22000,24500,22000,22000,24500,189010,0
165,2022,9,1,77,0,26900,26900,13870,0,22000,24500,22000,22000,24500,182670,0
166,2022,29,8,60,0,0,0,0,71640,36160,29350,0,0,51600,188750,4
167,2022,10,1,80,0,26900,13440,13870,32800,9000,24500,9000,22000,24500,176010,0
168,2022,11,1,96,18000,7900,13440,8120,32800,22000,24500,22000,9000,24500,182260,0
169,2022,9,1,80,0,13440,13440,13870,32800,22000,24500,22000,22000,24500,188550,0
170,2022,10,1,98,0,26900,13440,8120,32800,22000,24500,22000,9000,24500,183260,0
