id,year,sys,fis,per,ad,co,ba,no,pv,in,ve,cc,cp,cm,value,cluster
7307,2022,5,1,7,0,0,0,0,7900,2850,6450,2850,0,3550,23600,4
7308,2022,5,1,7,0,0,0,0,7900,2850,6450,2850,0,3550,23600,4
7309,2022,5,1,7,0,0,0,0,7900,2850,6450,2850,0,3550,23600,4
7310,2020,5,1,9,0,0,0,0,0,4520,6450,4520,4520,3550,23560,4
7311,2022,6,1,7,0,0,0,0,7900,2850,3550,2850,2850,3550,23550,4
7312,2020,6,1,7,0,0,0,0,7900,2850,3550,2850,2850,3550,23550,4
7313,2021,6,1,7,0,0,0,0,7900,2850,3550,2850,2850,3550,23550,4
7314,2022,6,1,7,0,0,0,0,7900,2850,3550,2850,2850,3550,23550,4
7315,2022,6,1,7,0,0,0,0,7900,2850,3550,2850,2850,3550,23550,4
7316,2021,6,1,7,0,0,0,0,7900,2850,3550,2850,2850,3550,23550,4
7317,2022,6,1,7,0,0,0,0,7900,2850,3550,2850,2850,3550,23550,4
7318,2021,6,1,7,0,7900,0,0,0,2850,3550,2850,2850,3550,23550,4
7319,2022,6,1,7,0,0,0,0,7900,2850,3550,2850,2850,3550,23550,4
7320,2021,6,1,7,0,0,0,0,7900,2850,3550,2850,2850,3550,23550,4
7321,2022,6,1,7,0,0,0,0,7900,2850,3550,2850,2850,3550,23550,4
7322,2021,4,1,7,0,0,0,0,10700,2850,6450,0,0,3550,23550,1
7323,2021,6,1,7,0,0,0,0,7900,2850,3550,2850,2850,3550,23550,4
7324,2022,6,1,7,0,0,0,0,7900,2850,3550,2850,2850,3550,23550,4
7325,2022,6,1,7,0,0,0,0,7900,2850,3550,2850,2850,3550,23550,4
7326,2022,6,1,7,0,0,0,0,7900,2850,3550,2850,2850,3550,23550,4
7327,2022,6,1,7,0,0,0,0,7900,2850,3550,2850,2850,3550,23550,4
7328,2022,4,2,6,0,6130,0,8120,0,0,6450,2850,0,0,23550,3
7329,2022,6,1,7,0,0,0,0,7900,2850,3550,2850,2850,3550,23550,4
7330,2022,6,2,7,0,0,0,0,7900,2850,7100,5700,0,0,23550,1
7331,2020,6,1,7,0,0,0,0,7900,2850,3550,2850,2850,3550,23550,4
7332,2022,6,1,7,0,0,0,0,7900,2850,3550,2850,2850,3550,23550,4
7333,2022,4,2,6,0,6130,0,8120,0,0,6450,2850,0,0,23550,3
7334,2020,6,1,7,0,0,0,0,7900,2850,3550,2850,2850,3550,23550,4
7335,2022,6,3,7,0,0,0,0,7900,2850,7100,5700,0,0,23550,1
7336,2022,4,1,6,0,7900,0,6340,0,0,6450,2850,0,0,23540,3
7337,2022,4,2,6,0,7900,0,6340,0,0,6450,2850,0,0,23540,3
7338,2020,4,2,6,0,7900,0,6340,0,0,6450,2850,0,0,23540,3
7339,2022,4,1,6,0,7900,0,6340,0,0,6450,2850,0,0,23540,3
7340,2022,4,1,6,0,7900,0,6340,0,0,6450,2850,0,0,23540,3
7341,2022,4,1,6,0,7900,0,6340,0,0,6450,2850,0,0,23540,3
7342,2022,4,2,6,0,7900,0,6340,0,0,6450,2850,0,0,23540,3
7343,2022,4,1,6,0,7900,0,6340,0,0,6450,2850,0,0,23540,3
7344,2022,4,2,6,0,7900,0,6340,0,0,6450,2850,0,0,23540,3
7345,2022,3,1,9,0,0,0,8120,0,0,10860,4520,0,0,23500,3
7346,2022,5,1,7,0,0,0,0,10700,2850,3550,0,2850,3550,23500,4
7347,2022,3,2,9,0,0,0,8120,0,0,10860,4520,0,0,23500,3
7348,2022,3,1,9,0,0,0,8120,0,0,10860,4520,0,0,23500,3
7349,2022,5,1,7,0,0,0,0,10700,2850,3550,2850,0,3550,23500,4
7350,2022,5,1,7,0,0,0,0,10700,2850,3550,2850,0,3550,23500,4
7351,2022,5,2,7,0,0,0,0,10700,2850,3550,2850,0,3550,23500,4
7352,2022,5,1,7,0,0,0,0,10700,2850,3550,2850,0,3550,23500,4
7353,2021,3,1,9,0,0,0,8120,0,0,10860,4520,0,0,23500,3
7354,2022,3,1,9,0,0,0,8120,0,0,10860,4520,0,0,23500,3
7355,2022,5,1,6,0,6130,0,0,4520,2850,6450,0,0,3550,23500,4
7356,2020,3,1,9,0,0,0,8120,0,4520,10860,0,0,0,23500,3
7357,2022,5,2,6,0,0,0,6340,7900,2850,3550,2850,0,0,23490,3
7358,2021,5,1,6,0,7900,0,6340,0,0,3550,2850,2850,0,23490,3
7359,2022,5,1,6,0,0,0,6340,7900,2850,3550,2850,0,0,23490,3
7360,2022,5,1,6,0,0,0,6340,7900,2850,3550,2850,0,0,23490,3
7361,2021,5,1,6,0,0,0,6340,7900,2850,3550,2850,0,0,23490,3
7362,2022,5,2,6,0,0,0,6340,7900,2850,3550,2850,0,0,23490,3
7363,2022,6,1,7,0,0,6130,0,0,4520,3550,2850,2850,3550,23450,4
7364,2022,4,1,10,0,0,0,0,0,4520,10860,4520,0,3550,23450,4
7365,2022,4,1,10,0,0,0,0,0,4520,10860,4520,0,3550,23450,4
7366,2021,6,1,7,0,0,0,0,0,2850,3550,2850,2850,3550,15650,4
7367,2022,6,1,7,0,0,6130,0,0,2850,3550,2850,4520,3550,23450,4
7368,2022,4,1,9,0,0,0,0,4520,4520,10860,0,0,3550,23450,4
7369,2022,4,2,6,0,6130,0,6340,0,0,6450,4520,0,0,23440,3
7370,2022,4,2,6,0,6130,0,6340,0,0,6450,4520,0,0,23440,3
7371,2021,4,1,6,0,6130,0,6340,0,0,6450,4520,0,0,23440,3
7372,2022,4,1,6,0,6130,0,6340,0,0,6450,4520,0,0,23440,3
7373,2022,4,1,6,0,6130,0,6340,0,0,6450,4520,0,0,23440,3
7374,2022,4,1,6,0,0,0,6340,10700,2850,3550,0,0,0,23440,1
7375,2022,4,1,9,0,0,0,0,0,4520,7920,4520,0,6450,23410,4
7376,2022,4,1,9,0,0,0,0,0,4520,7920,4520,0,6450,23410,4
7377,2022,4,1,9,0,0,0,0,0,4520,7920,4520,0,6450,23410,4
7378,2022,4,1,9,0,0,0,0,0,4520,7920,4520,0,6450,23410,4
7379,2022,4,1,9,0,0,0,0,0,4520,7920,4520,0,6450,23410,4
7380,2022,4,1,8,0,0,0,0,7900,4520,6450,4520,0,0,23390,1
7381,2020,4,1,8,0,0,0,0,7900,4520,6450,4520,0,0,23390,1
7382,2022,4,1,8,0,7900,0,0,0,4520,6450,4520,0,0,23390,3
7383,2022,4,1,8,0,0,0,0,7900,4520,0,4520,0,6450,23390,1
7384,2021,4,1,8,0,0,0,0,7900,4520,6450,4520,0,0,23390,1
7385,2022,4,1,8,0,0,0,0,7900,4520,0,4520,0,6450,23390,1
7386,2022,4,1,8,0,0,0,0,7900,4520,0,0,4520,6450,23390,1
7387,2022,5,1,5,0,6130,0,6340,4520,0,3550,0,2850,0,23390,2
7388,2022,4,2,6,0,7900,0,8120,4520,2850,0,0,0,0,23390,2
7389,2022,4,1,8,0,0,0,0,7900,4520,6450,4520,0,0,23390,1
7390,2022,4,1,8,0,0,0,0,7900,4520,0,0,4520,6450,23390,1
7391,2022,4,2,7,0,0,0,0,12420,4520,0,0,0,6450,23390,1
7392,2022,4,1,8,0,0,0,0,7900,4520,0,4520,0,6450,23390,1
7393,2020,4,1,8,0,0,0,0,7900,4520,6450,4520,0,0,23390,1
7394,2022,4,1,8,0,0,0,0,7900,4520,0,4520,0,6450,23390,1
7395,2021,4,1,8,0,0,0,0,7900,4520,0,0,4520,6450,23390,1
7396,2022,4,2,8,0,0,7900,0,0,4520,6450,4520,0,0,23390,3
7397,2021,4,1,8,0,0,0,0,7900,4520,6450,4520,0,0,23390,1
7398,2022,4,1,8,0,0,0,0,7900,4520,0,4520,0,6450,23390,1
7399,2022,4,2,7,0,0,0,0,12420,4520,0,0,0,6450,23390,1
7400,2022,4,1,8,0,0,0,0,7900,4520,0,4520,0,6450,23390,1
7401,2022,4,1,8,0,7900,0,0,0,4520,6450,4520,0,0,23390,3
7402,2022,4,1,8,0,0,0,0,7900,0,0,4520,4520,6450,23390,4
7403,2022,4,1,8,0,7900,0,0,0,4520,6450,4520,0,0,23390,3
7404,2022,5,2,5,0,6130,0,6340,4520,0,3550,2850,0,0,23390,3
7405,2022,4,1,8,0,0,0,0,7900,4520,6450,4520,0,0,23390,1
7406,2022,4,1,8,0,0,0,0,7900,4520,0,4520,0,6450,23390,1
7407,2021,4,1,8,0,0,0,0,7900,4520,0,4520,0,6450,23390,1
7408,2022,4,1,8,0,0,0,0,7900,4520,0,4520,0,6450,23390,1
7409,2022,4,1,8,0,7900,0,0,0,4520,6450,4520,0,0,23390,3
7410,2022,4,1,8,0,0,0,0,7900,4520,0,0,4520,6450,23390,1
7411,2022,4,1,8,0,7900,0,0,0,4520,6450,4520,0,0,23390,3
7412,2022,4,2,8,0,7900,0,0,0,4520,6450,4520,0,0,23390,3
7413,2021,4,1,8,0,0,0,0,7900,4520,0,0,4520,6450,23390,1
7414,2021,4,1,8,0,7900,0,0,0,0,6450,4520,4520,0,23390,3
7415,2022,4,1,8,0,0,0,0,7900,4520,0,4520,0,6450,23390,1
7416,2020,4,1,8,0,7900,0,0,0,4520,6450,4520,0,0,23390,3
7417,2021,5,1,6,0,6130,0,6340,0,4520,3550,2850,0,0,23390,3
7418,2022,4,1,8,0,0,0,0,7900,4520,6450,4520,0,0,23390,1
7419,2022,4,1,8,0,0,0,0,7900,4520,6450,4520,0,0,23390,1
7420,2022,4,1,8,0,0,0,0,7900,4520,6450,4520,0,0,23390,1
7421,2022,5,3,6,0,6130,0,6340,0,0,3550,2850,4520,0,23390,3
7422,2020,4,1,8,0,0,0,0,7900,4520,0,0,4520,6450,23390,1
7423,2022,4,1,8,0,0,0,0,7900,4520,0,4520,0,6450,23390,1
7424,2022,4,1,8,0,0,0,0,7900,4520,6450,4520,0,0,23390,1
7425,2022,4,1,8,0,0,0,0,7900,4520,6450,4520,0,0,23390,1
7426,2021,4,1,8,0,0,0,0,7900,4520,0,4520,0,6450,23390,1
7427,2022,5,1,6,0,6130,0,6340,0,4520,3550,2850,0,0,23390,3
7428,2022,4,1,8,0,0,7900,0,0,0,6450,4520,4520,0,23390,3
7429,2022,4,1,8,0,0,0,0,7900,4520,0,0,4520,6450,23390,1
7430,2022,4,1,8,0,0,0,0,7900,4520,0,4520,0,6450,23390,1
7431,2022,4,1,8,0,0,0,0,7900,4520,6450,4520,0,0,23390,1
7432,2020,4,1,8,0,0,7900,0,0,4520,0,0,4520,6450,23390,4
7433,2022,4,1,8,0,0,0,0,7900,4520,6450,4520,0,0,23390,1
7434,2021,4,1,8,0,0,0,0,7900,4520,0,0,4520,6450,23390,1
7435,2021,4,1,8,0,0,0,0,7900,4520,0,0,4520,6450,23390,1
7436,2021,4,1,8,0,0,0,0,7900,4520,6450,4520,0,0,23390,1
7437,2022,4,1,8,0,0,0,0,7900,4520,6450,4520,0,0,23390,1
7438,2022,4,1,8,0,0,0,0,7900,4520,6450,4520,0,0,23390,1
7439,2022,4,1,8,0,7900,0,0,0,0,6450,4520,4520,0,23390,3
7440,2022,4,1,8,0,0,0,0,7900,4520,0,0,4520,6450,23390,1
7441,2022,4,1,8,0,0,0,0,7900,4520,6450,4520,0,0,23390,1
7442,2020,4,1,8,0,0,0,0,7900,4520,0,4520,0,6450,23390,1
7443,2021,5,1,6,0,6130,0,6340,0,4520,3550,2850,0,0,23390,3
7444,2022,4,1,8,0,0,0,0,7900,4520,6450,4520,0,0,23390,1
7445,2020,4,1,8,0,7900,0,0,0,4520,6450,4520,0,0,23390,3
7446,2021,4,1,8,0,7900,0,0,0,0,0,4520,4520,6450,23390,4
7447,2022,4,1,8,0,0,0,0,7900,4520,6450,4520,0,0,23390,1
7448,2022,4,1,8,0,0,0,0,7900,4520,0,4520,0,6450,23390,1
7449,2022,4,1,8,0,0,0,0,7900,4520,0,4520,0,6450,23390,1
7450,2022,4,1,8,0,0,0,0,7900,0,0,4520,4520,6450,23390,4
7451,2022,4,1,8,0,0,0,0,7900,4520,6450,4520,0,0,23390,1
7452,2022,5,1,9,0,0,0,0,0,4520,7920,4520,2850,3550,23360,4
7453,2020,4,1,7,0,7900,9750,0,0,0,0,2850,2850,0,23350,2
7454,2022,3,1,7,0,9750,0,10050,0,0,3550,0,0,0,23350,2
7455,2022,5,1,8,0,0,0,0,7900,4520,0,4520,2850,3550,23340,4
7456,2022,3,1,7,0,6130,0,6340,0,0,10860,0,0,0,23330,2
7457,2022,3,2,7,0,13440,0,6340,0,0,3550,0,0,0,23330,2
7458,2022,3,3,7,0,13440,0,6340,0,0,3550,0,0,0,23330,2
7459,2022,3,1,7,0,13440,0,6340,0,0,3550,0,0,0,23330,2
7460,2022,3,2,7,0,13440,0,6340,0,0,3550,0,0,0,23330,2
7461,2022,3,1,7,0,13440,0,6340,0,0,3550,0,0,0,23330,2
7462,2020,5,1,7,0,6130,0,0,0,2850,7920,2850,0,3550,23300,4
7463,2022,4,2,8,0,0,0,6340,0,0,7920,4520,4520,0,23300,3
7464,2022,4,1,8,0,0,0,0,0,4520,6450,4520,0,0,15490,3
7465,2022,4,1,8,0,0,0,0,10700,4520,0,4520,0,3550,23290,1
7466,2021,4,1,8,0,0,0,0,10700,4520,3550,4520,0,0,23290,1
7467,2022,4,1,7,0,0,0,6340,7900,4520,0,4520,0,0,23280,1
7468,2021,3,1,9,0,7900,0,0,0,0,10860,4520,0,0,23280,3
7469,2022,3,1,9,0,7900,0,0,0,0,10860,4520,0,0,23280,3
7470,2022,3,1,9,0,0,0,0,7900,0,10860,4520,0,0,23280,3
7471,2022,4,2,7,0,7900,0,6340,0,0,0,4520,4520,0,23280,2
7472,2022,3,2,8,0,7900,0,0,4520,0,10860,0,0,0,23280,3
7473,2022,3,1,9,0,7900,0,0,0,0,10860,4520,0,0,23280,3
7474,2022,3,1,9,0,0,0,0,7900,4520,10860,0,0,0,23280,1
7475,2021,6,6,10,0,0,0,0,0,23250,0,0,0,0,23250,1
7476,2021,4,2,6,0,6130,6130,0,0,0,6450,4520,0,0,23230,3
7477,2022,4,1,6,0,6130,6130,0,0,0,6450,4520,0,0,23230,3
7478,2022,4,1,8,0,0,0,0,7900,2850,7920,4520,0,0,23190,1
7479,2022,4,1,8,0,0,0,0,7900,2850,7920,4520,0,0,23190,1
7480,2022,4,1,9,0,0,0,0,0,5970,7920,2850,0,6450,23190,4
7481,2022,4,1,8,0,0,0,0,7900,4520,7920,2850,0,0,23190,1
7482,2022,4,1,8,0,0,0,0,7900,5970,6450,2850,0,0,23170,1
7483,2022,3,1,8,0,0,0,13870,0,0,6450,2850,0,0,23170,3
7484,2022,5,1,8,0,0,0,0,0,4520,6450,2850,2850,6450,23120,4
7485,2022,3,2,7,0,19570,0,0,0,0,3550,0,0,0,23120,2
7486,2022,4,1,4,0,6130,6130,6340,4520,0,0,0,0,0,23120,2
7487,2022,3,1,8,0,0,0,0,10700,5970,0,0,0,6450,23120,1
7488,2022,5,1,8,0,0,0,0,0,2850,6450,4520,2850,6450,23120,4
7489,2022,4,1,8,0,0,0,6340,0,2850,7920,5970,0,0,23080,3
7490,2022,4,1,8,0,0,0,0,10700,5970,0,2850,0,3550,23070,1
7491,2022,6,1,7,0,0,0,0,4520,2850,6450,2850,2850,3550,23070,4
7492,2022,7,2,7,0,0,0,0,4520,5700,7100,5700,0,0,23020,1
7493,2022,7,2,7,0,0,0,0,4520,5700,3550,2850,2850,3550,23020,4
7494,2022,7,2,7,0,0,0,0,4520,2850,3550,5700,2850,3550,23020,4
7495,2022,5,1,9,0,0,0,0,0,2850,10860,2850,2850,3550,22960,4
7496,2022,5,1,9,0,0,0,0,0,2850,10860,2850,2850,3550,22960,4
7497,2022,5,1,9,0,0,0,0,0,2850,10860,2850,2850,3550,22960,4
7498,2022,5,1,9,0,0,0,0,0,2850,10860,2850,2850,3550,22960,4
7499,2022,5,1,9,0,0,0,0,0,2850,10860,2850,2850,3550,22960,4
7500,2022,6,1,6,0,0,0,6340,4520,2850,0,2850,2850,3550,22960,4
7501,2022,5,1,9,0,0,0,0,0,2850,10860,2850,2850,3550,22960,4
7502,2022,5,1,9,0,0,0,0,0,2850,10860,2850,2850,3550,22960,4
7503,2022,5,1,9,0,0,0,0,0,2850,10860,2850,2850,3550,22960,4
7504,2022,5,1,9,0,0,0,0,0,2850,10860,2850,2850,3550,22960,4
7505,2022,5,1,8,0,0,0,0,0,2850,7920,2850,2850,6450,22920,4
7506,2022,5,1,8,0,0,0,0,0,2850,7920,2850,2850,6450,22920,4
7507,2022,5,1,8,0,0,0,0,0,2850,7920,2850,2850,6450,22920,4
7508,2022,5,1,7,0,0,0,0,7900,2850,0,2850,2850,6450,22900,4
7509,2022,5,2,8,0,0,0,0,4520,7370,6450,4520,0,0,22860,1
7510,2022,4,1,7,0,0,0,0,10700,2850,0,2850,0,6450,22850,1
7511,2022,6,2,7,0,0,0,0,7900,5700,3550,5700,0,0,22850,1
7512,2022,4,1,7,0,0,0,0,10700,2850,6450,2850,0,0,22850,1
7513,2022,4,1,7,0,0,0,0,10700,2850,0,2850,0,6450,22850,1
7514,2022,6,4,6,0,0,0,0,13560,2850,0,0,2850,3550,22810,1
7515,2022,5,1,7,0,0,0,0,10700,2850,0,2850,2850,3550,22800,4
7516,2022,5,1,7,0,0,0,0,10700,2850,0,2850,2850,3550,22800,4
7517,2022,5,1,7,0,0,0,0,10700,2850,0,2850,2850,3550,22800,4
7518,2020,5,1,7,0,0,0,0,10700,2850,0,2850,2850,3550,22800,4
7519,2022,5,1,7,0,0,0,0,10700,2850,0,2850,2850,3550,22800,4
7520,2022,5,1,7,0,0,0,0,10700,2850,0,2850,2850,3550,22800,4
7521,2022,5,1,7,0,0,0,0,10700,2850,0,2850,2850,3550,22800,4
7522,2022,5,1,7,0,0,0,0,10700,2850,0,2850,2850,3550,22800,4
7523,2020,5,1,7,0,0,0,0,10700,2850,0,2850,2850,3550,22800,4
7524,2022,5,1,7,0,0,0,0,10700,2850,0,2850,2850,3550,22800,4
7525,2020,5,1,7,0,0,0,0,10700,2850,0,2850,2850,3550,22800,4
7526,2022,5,1,7,0,0,0,0,10700,2850,0,2850,2850,3550,22800,4
7527,2021,5,1,7,0,0,0,0,10700,2850,0,2850,2850,3550,22800,4
7528,2020,8,4,8,0,0,0,0,0,11400,0,11400,0,0,22800,1
7529,2022,5,1,7,0,0,0,0,10700,2850,0,2850,2850,3550,22800,4
7530,2020,2,1,7,0,0,0,0,16340,0,6450,0,0,0,22790,1
7531,2022,2,1,7,0,0,0,0,16340,0,6450,0,0,0,22790,1
7532,2020,6,1,6,0,0,6130,0,4520,2850,3550,2850,2850,0,22750,4
7533,2022,4,1,10,0,0,0,0,0,4520,10860,4520,2850,0,22750,4
7534,2022,7,3,7,0,0,0,0,0,5700,10650,2850,0,3550,22750,4
7535,2022,3,1,8,0,13440,0,0,0,0,6450,2850,0,0,22740,3
7536,2021,3,1,7,0,0,0,0,16340,2850,0,0,0,3550,22740,1
7537,2022,3,1,7,0,0,0,0,16340,2850,0,0,0,3550,22740,1
7538,2022,3,1,7,0,0,0,0,16340,2850,0,0,0,3550,22740,1
7539,2022,3,1,7,0,0,0,0,16340,2850,0,0,0,3550,22740,1
7540,2021,3,1,7,0,0,0,0,16340,2850,0,0,0,3550,22740,1
7541,2021,3,1,7,0,0,0,0,16340,2850,0,0,0,3550,22740,1
7542,2021,3,1,7,0,0,0,0,16340,2850,0,0,0,3550,22740,1
7543,2022,3,1,7,0,0,0,0,16340,2850,0,0,0,3550,22740,1
7544,2022,3,1,7,0,0,0,0,16340,2850,0,0,0,3550,22740,1
7545,2021,3,1,7,0,0,0,0,16340,2850,0,0,0,3550,22740,1
7546,2022,3,1,7,0,0,0,0,16340,2850,0,0,0,3550,22740,1
7547,2022,3,1,7,0,0,0,0,16340,2850,0,0,0,3550,22740,1
7548,2022,3,2,7,0,0,0,0,16340,0,3550,2850,0,0,22740,3
7549,2022,3,1,7,0,0,0,0,16340,2850,0,0,0,3550,22740,1
7550,2022,3,1,7,0,0,0,0,16340,2850,0,0,0,3550,22740,1
7551,2022,5,3,7,6300,0,0,0,13560,2850,0,0,0,0,22710,1
7552,2022,4,2,8,0,13440,0,0,0,0,3550,2850,2850,0,22690,3
7553,2022,5,1,5,0,6130,0,6340,4520,2850,0,2850,0,0,22690,1
7554,2022,5,2,5,0,6130,0,6340,4520,2850,0,0,2850,0,22690,2
7555,2022,2,1,6,0,0,0,6340,16340,0,0,0,0,0,22680,1
7556,2020,5,3,6,0,0,0,0,16940,5700,0,0,0,0,22640,1
7557,2022,5,2,7,0,0,0,0,12420,7370,0,2850,0,0,22640,1
7558,2022,3,1,7,0,13440,0,6340,0,0,0,2850,0,0,22630,2
7559,2022,5,5,5,0,0,0,0,22600,0,0,0,0,0,22600,1
7560,2021,5,5,5,0,0,0,0,22600,0,0,0,0,0,22600,1
7561,2021,5,2,7,0,0,0,0,4520,4520,7100,0,0,6450,22590,4
7562,2022,4,1,6,0,9750,0,6340,0,0,3550,2850,0,0,22490,3
7563,2022,4,1,6,0,9750,0,6340,0,0,3550,2850,0,0,22490,3
7564,2022,4,1,6,0,9750,0,6340,0,0,3550,2850,0,0,22490,3
7565,2022,4,1,6,0,9750,0,6340,0,0,3550,2850,0,0,22490,3
7566,2022,5,1,5,0,6130,6130,0,4520,2850,0,2850,0,0,22480,1
7567,2021,3,1,9,0,0,13440,0,0,0,0,4520,4520,0,22480,3
7568,2022,5,1,7,0,0,0,6340,0,0,3550,4520,4520,3550,22480,4
7569,2022,3,1,6,0,7900,0,8120,0,0,6450,0,0,0,22470,2
7570,2022,3,1,6,0,7900,0,8120,0,0,6450,0,0,0,22470,2
7571,2021,3,1,6,0,7900,0,8120,0,0,6450,0,0,0,22470,2
7572,2022,3,1,6,0,7900,0,8120,0,0,6450,0,0,0,22470,2
7573,2020,3,1,6,0,7900,0,8120,0,0,6450,0,0,0,22470,2
7574,2022,3,1,6,0,7900,0,8120,0,0,6450,0,0,0,22470,2
7575,2020,3,1,6,0,7900,0,8120,0,0,0,0,0,6450,22470,2
7576,2022,3,1,6,0,7900,0,8120,0,0,6450,0,0,0,22470,2
7577,2022,3,1,6,0,7900,0,8120,0,0,6450,0,0,0,22470,2
7578,2022,3,1,6,0,7900,0,8120,0,0,6450,0,0,0,22470,2
7579,2022,3,1,6,0,7900,0,8120,0,0,6450,0,0,0,22470,2
7580,2022,3,1,6,0,7900,0,8120,0,0,6450,0,0,0,22470,2
7581,2022,3,1,6,0,7900,0,8120,0,0,6450,0,0,0,22470,2
7582,2021,3,1,6,0,7900,0,8120,0,0,6450,0,0,0,22470,2
7583,2021,3,1,6,0,7900,0,8120,0,0,6450,0,0,0,22470,2
7584,2021,3,1,6,0,7900,0,8120,0,0,6450,0,0,0,22470,2
7585,2022,3,1,6,0,7900,0,8120,0,0,6450,0,0,0,22470,2
7586,2022,3,1,6,0,7900,0,8120,0,0,6450,0,0,0,22470,2
7587,2020,3,1,6,0,7900,0,8120,0,0,6450,0,0,0,22470,2
7588,2022,3,1,6,0,7900,0,8120,0,0,6450,0,0,0,22470,2
7589,2022,3,1,6,0,7900,0,8120,0,0,6450,0,0,0,22470,2
7590,2022,3,1,6,0,7900,0,8120,0,0,6450,0,0,0,22470,2
7591,2022,3,3,5,0,9750,0,12680,0,0,0,0,0,0,22430,2
7592,2022,3,1,7,0,13440,6130,0,0,0,0,0,2850,0,22420,2
7593,2021,4,1,6,0,7900,0,8120,0,0,3550,2850,0,0,22420,3
7594,2022,5,2,5,0,6130,0,6340,0,0,7100,2850,0,0,22420,3
7595,2022,4,1,6,0,7900,0,8120,0,0,3550,2850,0,0,22420,3
7596,2022,4,1,6,0,7900,0,8120,0,0,3550,2850,0,0,22420,3
7597,2022,4,1,6,0,7900,0,8120,0,0,3550,2850,0,0,22420,3
7598,2021,4,2,6,0,7900,0,8120,0,0,3550,2850,0,0,22420,3
7599,2022,4,2,6,0,7900,0,8120,0,0,3550,2850,0,0,22420,3
7600,2022,4,1,6,0,7900,0,8120,0,0,3550,2850,0,0,22420,3
7601,2022,5,2,5,0,6130,0,6340,0,0,7100,2850,0,0,22420,3
7602,2022,4,1,6,0,7900,0,8120,0,0,3550,2850,0,0,22420,3
7603,2022,4,2,6,0,7900,0,8120,0,0,3550,2850,0,0,22420,3
7604,2022,4,2,7,0,0,0,0,7900,0,10000,4520,0,0,22420,3
7605,2022,5,1,5,0,6130,0,6340,0,0,3550,2850,0,3550,22420,3
7606,2021,5,1,5,0,6130,0,6340,0,2850,3550,0,0,3550,22420,2
7607,2022,5,1,5,0,6130,0,6340,0,2850,3550,0,0,3550,22420,2
7608,2020,3,2,7,0,13440,6130,0,0,2850,0,0,0,0,22420,2
7609,2021,3,1,7,0,0,0,0,0,2850,3550,0,0,0,6400,3
7610,2022,5,1,6,0,0,0,0,7900,2850,3550,2850,0,0,17150,1
7611,2022,3,1,7,0,9750,0,8120,0,0,0,4520,0,0,22390,2
7612,2020,5,3,6,0,0,0,0,12420,2850,0,0,0,7100,22370,1
7613,2022,5,1,7,0,0,0,0,7900,4520,3550,2850,0,3550,22370,4
7614,2022,5,1,7,0,0,0,0,7900,2850,3550,4520,0,3550,22370,4
7615,2022,3,2,5,0,7900,0,14460,0,0,0,0,0,0,22360,2
7616,2022,3,2,5,0,0,0,14460,7900,0,0,0,0,0,22360,1
7617,2022,2,1,8,0,0,0,0,16340,5970,0,0,0,0,22310,1
7618,2020,2,1,7,0,0,0,0,0,0,0,0,0,0,0,2
7619,2021,3,1,6,0,7900,7900,0,0,0,6450,0,0,0,22250,2
7620,2021,3,2,6,0,7900,7900,0,0,0,6450,0,0,0,22250,2
7621,2022,5,1,5,0,6130,6130,0,0,0,3550,2850,0,3550,22210,0
7622,2022,4,1,4,0,6130,6130,6340,0,0,3550,0,0,0,22150,2
7623,2022,4,2,4,0,12260,0,6340,0,0,3550,0,0,0,22150,2
7624,2022,4,1,4,0,6130,6130,6340,0,0,3550,0,0,0,22150,2
7625,2022,4,1,4,0,6130,6130,6340,0,0,3550,0,0,0,22150,2
7626,2020,4,1,4,0,6130,6130,6340,0,0,3550,0,0,0,22150,2
7627,2022,3,2,5,0,14030,0,8120,0,0,0,0,0,0,22150,2
7628,2022,4,1,4,0,6130,6130,6340,0,0,3550,0,0,0,22150,2
7629,2022,4,2,4,0,6130,6130,6340,0,0,3550,0,0,0,22150,2
7630,2022,4,3,4,0,12260,0,6340,0,0,3550,0,0,0,22150,2
7631,2022,3,1,5,0,6130,7900,8120,0,0,0,0,0,0,22150,2
7632,2022,4,1,4,0,6130,6130,6340,0,0,3550,0,0,0,22150,2
7633,2022,3,1,5,0,7900,6130,8120,0,0,0,0,0,0,22150,2
7634,2022,3,2,5,0,7900,7900,6340,0,0,0,0,0,0,22140,2
7635,2022,3,1,5,0,7900,7900,6340,0,0,0,0,0,0,22140,2
7636,2022,3,1,5,0,7900,7900,6340,0,0,0,0,0,0,22140,2
7637,2022,3,1,5,0,7900,7900,6340,0,0,0,0,0,0,22140,2
7638,2022,3,1,5,0,7900,7900,6340,0,0,0,0,0,0,22140,2
7639,2022,3,2,5,0,7900,7900,6340,0,0,0,0,0,0,22140,2
7640,2021,6,3,6,0,0,0,0,13560,8550,0,0,0,0,22110,1
7641,2022,6,3,6,0,0,0,0,13560,8550,0,0,0,0,22110,1
7642,2020,6,3,6,0,0,0,0,13560,8550,0,0,0,0,22110,1
7643,2022,6,3,6,0,0,0,0,13560,8550,0,0,0,0,22110,1
7644,2020,6,3,6,0,0,0,0,13560,8550,0,0,0,0,22110,1
7645,2022,6,3,6,0,0,0,0,13560,8550,0,0,0,0,22110,1
7646,2022,6,3,6,0,0,0,0,13560,8550,0,0,0,0,22110,1
